,frame,cell number,voltage,resistance,current,power,temperature_1,temperature_2
232,34,cell_2,3.351,0.325,8.562,176.03471999999996,22.3,22.200000000000003
233,34,cell_3,3.489,0.322,8.562,176.03471999999996,22.3,22.200000000000003
234,34,cell_4,3.424,0.322,8.562,176.03471999999996,22.3,22.200000000000003
235,34,cell_5,3.438,0.327,8.562,176.03471999999996,22.3,22.200000000000003
236,34,cell_6,3.407,0.327,8.562,176.03471999999996,22.3,22.200000000000003
237,34,cell_average,3.4266666666666663,0.3245,8.562,176.03471999999996,22.3,22.200000000000003
238,35,cell_1,3.451,0.324,8.251,171.472282,22.3,22.200000000000003
239,35,cell_2,3.351,0.325,8.251,171.472282,22.3,22.200000000000003
240,35,cell_3,3.527,0.322,8.251,171.472282,22.3,22.200000000000003
241,35,cell_4,3.4410000000000003,0.322,8.251,171.472282,22.3,22.200000000000003
242,35,cell_5,3.511,0.327,8.251,171.472282,22.3,22.200000000000003
243,35,cell_6,3.501,0.327,8.251,171.472282,22.3,22.200000000000003
244,35,cell_average,3.463666666666667,0.3245,8.251,171.472282,22.3,22.200000000000003
245,36,cell_1,3.494,0.324,6.849,142.40440800000002,22.3,22.200000000000003
246,36,cell_2,3.508,0.325,6.849,142.40440800000002,22.3,22.200000000000003
247,36,cell_3,3.479,0.322,6.849,142.40440800000002,22.3,22.200000000000003
248,36,cell_4,3.299,0.322,6.849,142.40440800000002,22.3,22.200000000000003
249,36,cell_5,3.511,0.327,6.849,142.40440800000002,22.3,22.200000000000003
250,36,cell_6,3.501,0.327,6.849,142.40440800000002,22.3,22.200000000000003
251,36,cell_average,3.4653333333333336,0.3245,6.849,142.40440800000002,22.3,22.200000000000003
252,37,cell_1,3.494,0.324,8.718,181.264656,22.400000000000002,22.200000000000003
253,37,cell_2,3.508,0.325,8.718,181.264656,22.400000000000002,22.200000000000003
254,37,cell_3,3.479,0.322,8.718,181.264656,22.400000000000002,22.200000000000003
255,37,cell_4,3.299,0.322,8.718,181.264656,22.400000000000002,22.200000000000003
256,37,cell_5,3.511,0.327,8.718,181.264656,22.400000000000002,22.200000000000003
257,37,cell_6,3.501,0.327,8.718,181.264656,22.400000000000002,22.200000000000003
258,37,cell_average,3.4653333333333336,0.3245,8.718,181.264656,22.400000000000002,22.200000000000003
259,38,cell_1,3.494,0.324,7.005,145.92816,22.400000000000002,22.200000000000003
260,38,cell_2,3.508,0.325,7.005,145.92816,22.400000000000002,22.200000000000003
261,38,cell_3,3.479,0.322,7.005,145.92816,22.400000000000002,22.200000000000003
262,38,cell_4,3.299,0.322,7.005,145.92816,22.400000000000002,22.200000000000003
263,38,cell_5,3.524,0.327,7.005,145.92816,22.400000000000002,22.200000000000003
264,38,cell_6,3.528,0.327,7.005,145.92816,22.400000000000002,22.200000000000003
265,38,cell_average,3.472,0.3245,7.005,145.92816,22.400000000000002,22.200000000000003
266,39,cell_1,3.494,0.324,6.694,139.449408,22.400000000000002,22.200000000000003
267,39,cell_2,3.508,0.325,6.694,139.449408,22.400000000000002,22.200000000000003
268,39,cell_3,3.479,0.322,6.694,139.449408,22.400000000000002,22.200000000000003
269,39,cell_4,3.299,0.322,6.694,139.449408,22.400000000000002,22.200000000000003
270,39,cell_5,3.524,0.327,6.694,139.449408,22.400000000000002,22.200000000000003
271,39,cell_6,3.528,0.327,6.694,139.449408,22.400000000000002,22.200000000000003
272,39,cell_average,3.472,0.3245,6.694,139.449408,22.400000000000002,22.200000000000003
273,40,cell_1,3.495,0.324,6.694,140.031786,22.400000000000002,22.200000000000003
274,40,cell_2,3.474,0.325,6.694,140.031786,22.400000000000002,22.200000000000003
275,40,cell_3,3.5060000000000002,0.322,6.694,140.031786,22.400000000000002,22.200000000000003
276,40,cell_4,3.438,0.322,6.694,140.031786,22.400000000000002,22.200000000000003
277,40,cell_5,3.478,0.327,6.694,140.031786,22.400000000000002,22.200000000000003
278,40,cell_6,3.528,0.327,6.694,140.031786,22.400000000000002,22.200000000000003
279,40,cell_average,3.4865,0.3245,6.694,140.031786,22.400000000000002,22.200000000000003
280,41,cell_1,3.495,0.324,6.6160000000000005,138.40010400000003,22.400000000000002,22.200000000000003
281,41,cell_2,3.474,0.325,6.6160000000000005,138.40010400000003,22.400000000000002,22.200000000000003
282,41,cell_3,3.5060000000000002,0.322,6.6160000000000005,138.40010400000003,22.400000000000002,22.200000000000003
283,41,cell_4,3.438,0.322,6.6160000000000005,138.40010400000003,22.400000000000002,22.200000000000003
284,41,cell_5,3.478,0.327,6.6160000000000005,138.40010400000003,22.400000000000002,22.200000000000003
285,41,cell_6,3.528,0.327,6.6160000000000005,138.40010400000003,22.400000000000002,22.200000000000003
286,41,cell_average,3.4865,0.3245,6.6160000000000005,138.40010400000003,22.400000000000002,22.200000000000003
287,42,cell_1,3.495,0.324,8.718,181.70927400000002,22.400000000000002,22.3
288,42,cell_2,3.474,0.325,8.718,181.70927400000002,22.400000000000002,22.3
289,42,cell_3,3.5060000000000002,0.322,8.718,181.70927400000002,22.400000000000002,22.3
290,42,cell_4,3.438,0.322,8.718,181.70927400000002,22.400000000000002,22.3
291,42,cell_5,3.462,0.327,8.718,181.70927400000002,22.400000000000002,22.3
292,42,cell_6,3.468,0.327,8.718,181.70927400000002,22.400000000000002,22.3
293,42,cell_average,3.4738333333333338,0.3245,8.718,181.70927400000002,22.400000000000002,22.3
294,43,cell_1,3.495,0.324,8.484,176.83201200000002,22.400000000000002,22.3
295,43,cell_2,3.474,0.325,8.484,176.83201200000002,22.400000000000002,22.3
296,43,cell_3,3.5060000000000002,0.322,8.484,176.83201200000002,22.400000000000002,22.3
