,frame,cell number,voltage,resistance,current,power
332,48,cell_4,3.446,0.319,7.239,152.51849099999998
333,48,cell_5,3.519,0.321,7.239,152.51849099999998
334,48,cell_6,3.544,0.322,7.239,152.51849099999998
335,48,cell_average,3.5115,0.3185,7.239,152.51849099999998
336,49,cell_1,3.507,0.318,7.55,158.7312
337,49,cell_2,3.458,0.317,7.55,158.7312
338,49,cell_3,3.586,0.314,7.55,158.7312
339,49,cell_4,3.435,0.319,7.55,158.7312
340,49,cell_5,3.513,0.321,7.55,158.7312
341,49,cell_6,3.525,0.322,7.55,158.7312
342,49,cell_average,3.504,0.3185,7.55,158.7312
343,50,cell_1,3.468,0.318,8.173,171.69021099999998
344,50,cell_2,3.516,0.317,8.173,171.69021099999998
345,50,cell_3,3.5500000000000003,0.314,8.173,171.69021099999998
346,50,cell_4,3.435,0.319,8.173,171.69021099999998
347,50,cell_5,3.513,0.321,8.173,171.69021099999998
348,50,cell_6,3.525,0.322,8.173,171.69021099999998
349,50,cell_average,3.5011666666666663,0.3185,8.173,171.69021099999998
350,51,cell_1,3.468,0.318,9.107,191.31074899999996
351,51,cell_2,3.516,0.317,9.107,191.31074899999996
352,51,cell_3,3.5500000000000003,0.314,9.107,191.31074899999996
353,51,cell_4,3.435,0.319,9.107,191.31074899999996
354,51,cell_5,3.513,0.321,9.107,191.31074899999996
355,51,cell_6,3.525,0.322,9.107,191.31074899999996
356,51,cell_average,3.5011666666666663,0.3185,9.107,191.31074899999996
357,52,cell_1,3.468,0.318,9.029,186.90030000000002
358,52,cell_2,3.516,0.317,9.029,186.90030000000002
359,52,cell_3,3.508,0.314,9.029,186.90030000000002
360,52,cell_4,3.271,0.319,9.029,186.90030000000002
361,52,cell_5,3.415,0.321,9.029,186.90030000000002
362,52,cell_6,3.5220000000000002,0.322,9.029,186.90030000000002
363,52,cell_average,3.4500000000000006,0.3185,9.029,186.90030000000002
364,53,cell_1,3.468,0.318,6.9270000000000005,143.38890000000004
365,53,cell_2,3.516,0.317,6.9270000000000005,143.38890000000004
366,53,cell_3,3.508,0.314,6.9270000000000005,143.38890000000004
367,53,cell_4,3.271,0.319,6.9270000000000005,143.38890000000004
368,53,cell_5,3.415,0.321,6.9270000000000005,143.38890000000004
369,53,cell_6,3.5220000000000002,0.322,6.9270000000000005,143.38890000000004
370,53,cell_average,3.4500000000000006,0.3185,6.9270000000000005,143.38890000000004
371,54,cell_1,3.564,0.318,8.718,182.432868
372,54,cell_2,3.5740000000000003,0.317,8.718,182.432868
373,54,cell_3,3.58,0.314,8.718,182.432868
374,54,cell_4,3.271,0.319,8.718,182.432868
375,54,cell_5,3.415,0.321,8.718,182.432868
376,54,cell_6,3.5220000000000002,0.322,8.718,182.432868
377,54,cell_average,3.487666666666667,0.3185,8.718,182.432868
378,55,cell_1,3.564,0.318,8.718,182.432868
379,55,cell_2,3.5740000000000003,0.317,8.718,182.432868
380,55,cell_3,3.58,0.314,8.718,182.432868
381,55,cell_4,3.271,0.319,8.718,182.432868
382,55,cell_5,3.415,0.321,8.718,182.432868
383,55,cell_6,3.5220000000000002,0.322,8.718,182.432868
